ASN,Location_bias,Network_size_bias,Topology_bias,IXP_related_bias,Network_type_bias,RIR_region,Customer_cone_num_ASNs,Customer_cone_num_prefixes,Location_country,num_neighbors_total,Scope_PeeringDB,Network_type_PeeringDB,Peering_policy_PeeringDB,IXPs_PeeringDB,num_facilities_PeeringDB,is_in_peeringDB,nb_atlas_probes_v4,nb_atlas_probes_v6,is_routeviews_peer,Improvement_proximity,kind
201401,0.11,-0.12,-0.01,-0.05,-0.03,RIPE,1.0,9.0,NL,100.0,Europe,NSP,Open,5.0,4.0,1.0,,,,9.0,RIS
201403,0.11,-0.3,-0.39,0.0,-0.02,RIPE,1.0,2.0,NL,3.0,,,,,,0.0,,,,2.0,RIS
201405,0.11,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,NL,2.0,,,,,,0.0,,,,1.0,RIS
201408,0.11,-0.22,-0.61,0.0,-0.02,RIPE,1.0,3.0,FR,2.0,,,,,,0.0,,,,3.0,RIS
201411,-0.07,-0.09,-0.61,0.0,-0.02,RIPE,1.0,28.0,TR,2.0,,,,,,0.0,,,,48.0,RIS
201415,-0.11,-0.22,-0.61,0.0,-0.02,RIPE,1.0,2.0,IL,2.0,,,,,,0.0,,,,5.0,RIS
201425,0.11,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,FR,2.0,,,,,,0.0,,,,2.0,RIS
201426,0.1,-0.07,-0.49,0.0,-0.02,RIPE,2.0,69.0,ES,3.0,,,,,,0.0,,,,2.0,RIS
201427,-0.03,-0.22,-0.23,-0.2,-0.07,RIPE,2.0,2.0,PL,6.0,Europe,Cable/DSL/ISP,Open,2.0,0.0,1.0,,,,3.0,RIS
201428,0.1,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,SE,2.0,,,,,,0.0,,,,2.0,RIS
201430,0.03,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,,1.0,RIS
201434,-0.03,-0.17,-0.51,0.0,-0.02,RIPE,2.0,7.0,PL,2.0,,,,,,0.0,,,,9.0,RIS
201436,0.11,-0.22,-0.61,0.0,-0.02,RIPE,1.0,1.0,CH,2.0,,,,,,0.0,,,,1.0,RIS
201438,0.11,-0.22,-0.61,0.0,-0.02,RIPE,1.0,1.0,DE,2.0,,,,,,0.0,,,,1.0,RIS
201442,-0.1,-0.17,-0.61,0.0,-0.02,RIPE,1.0,4.0,IR,2.0,,,,,,0.0,,,,14.0,RIS
201443,0.03,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,,1.0,RIS
201446,0.1,-0.09,-0.38,-0.29,-0.73,RIPE,1.0,37.0,ES,5.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,,42.0,RIS
201452,0.03,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,,2.0,RIS
201453,0.1,-0.07,-0.06,-0.29,-0.26,RIPE,1.0,68.0,ES,11.0,Regional,,Open,1.0,1.0,1.0,,,,68.0,RIS
201455,0.11,-0.17,-0.61,0.0,-0.02,RIPE,1.0,5.0,DK,2.0,,,,,,0.0,,,,10.0,RIS
201457,0.07,-0.17,-0.61,0.0,-0.02,RIPE,1.0,5.0,CZ,2.0,,,,,,0.0,,,,10.0,RIS
201463,0.11,-0.17,-0.39,0.0,-0.02,RIPE,1.0,5.0,DE,4.0,,,,,,0.0,,,,5.0,RIS
201469,0.03,-0.22,-0.22,0.0,-0.02,RIPE,1.0,3.0,RU,4.0,,,,,,0.0,,,,3.0,RIS
201471,0.11,-0.12,-0.39,0.0,-0.02,RIPE,1.0,8.0,GB,3.0,,,,,,0.0,,,,16.0,RIS
201472,-0.03,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,PL,2.0,,,,,,0.0,,,,1.0,RIS
201474,0.11,-0.17,-0.39,0.0,-0.02,RIPE,1.0,6.0,IT,3.0,,,,,,0.0,1.0,,,12.0,RIS
201475,0.03,-0.3,-0.61,0.0,-0.02,RIPE,1.0,1.0,RU,2.0,,,,,,0.0,,,,2.0,RIS
201476,0.07,-0.12,-0.61,0.0,-0.02,RIPE,1.0,14.0,CZ,2.0,,,,,,0.0,,,,29.0,RIS
201477,0.03,-0.22,-0.39,0.0,-0.02,RIPE,1.0,1.0,RU,5.0,,,,,,0.0,,,,1.0,RIS
