ASN,Location_bias,Network_size_bias,Topology_bias,IXP_related_bias,Network_type_bias,RIR_region,Customer_cone_num_ASNs,Customer_cone_num_prefixes,Location_country,num_neighbors_total,Scope_PeeringDB,Network_type_PeeringDB,Peering_policy_PeeringDB,IXPs_PeeringDB,num_facilities_PeeringDB,is_in_peeringDB,nb_atlas_probes_v4,nb_atlas_probes_v6,is_routeviews_peer,Improvement_proximity,kind
34730,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,PL,2.0,,,,,,0.0,,,,,Atlas
34738,-0.01,-0.05,-0.03,0.0,-0.01,RIPE,1.0,9.0,BZ,3.0,,,,,,0.0,,,,,Atlas
34739,0.04,-0.09,-0.12,0.0,-0.01,RIPE,1.0,2.0,RU,2.0,,,,,,0.0,,,,,Atlas
34740,0.03,-0.01,-0.03,0.0,-0.01,RIPE,1.0,7.0,RO,3.0,,,,,,0.0,,,,,Atlas
397678,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,2.0,US,2.0,,,,,,0.0,,,,,Atlas
34744,0.03,-0.01,-0.03,0.0,-0.01,RIPE,1.0,13.0,RO,3.0,,,,,,0.0,,,,,Atlas
397679,-0.13,-0.01,-0.03,0.0,-0.01,ARIN,1.0,5.0,US,3.0,,,,,,0.0,,,,,Atlas
34746,0.05,-0.09,0.04,-0.19,0.12,RIPE,1.0,1.0,GB,55.0,Europe,Content,Open,1.0,1.0,1.0,,,,,Atlas
34748,0.05,-0.18,-0.07,0.0,-0.01,RIPE,2.0,1.0,HR,2.0,,,,,,0.0,,,,,Atlas
397681,-0.1,-0.09,0.01,0.0,-0.01,ARIN,1.0,3.0,CA,10.0,,,,,,0.0,,,,,Atlas
34754,0.04,0.01,-0.12,0.0,-0.01,RIPE,1.0,80.0,BG,2.0,,,,,,0.0,,,,,Atlas
34755,0.0,-0.09,-0.12,0.0,-0.01,RIPE,1.0,3.0,TR,2.0,,,,,,0.0,,,,,Atlas
34756,0.05,-0.01,0.05,0.32,0.17,RIPE,1.0,13.0,NL,55.0,Europe,Content,Selective,3.0,9.0,1.0,,,,,Atlas
34759,0.05,-0.09,-0.12,0.0,-0.01,RIPE,1.0,1.0,IT,2.0,,,,,,0.0,,,,,Atlas
34764,0.05,-0.18,-0.12,-0.19,-0.0,RIPE,1.0,2.0,DE,2.0,Global,Content,Open,1.0,1.0,1.0,,,,,Atlas
34765,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,PL,2.0,,,,,,0.0,,,,,Atlas
34766,0.05,-0.05,-0.03,0.0,-0.01,RIPE,2.0,4.0,NL,4.0,,,,,,0.0,,,,,Atlas
34768,0.05,-0.09,0.05,0.02,-0.02,RIPE,1.0,2.0,GB,59.0,Regional,Content,Open,3.0,5.0,1.0,,,,,Atlas
34773,0.03,-0.18,-0.07,0.1,-0.03,RIPE,1.0,2.0,KE,1.0,Global,Cable/DSL/ISP,Selective,0.0,1.0,1.0,,,,,Atlas
34774,0.05,-0.05,-0.12,0.0,-0.01,RIPE,1.0,7.0,FR,2.0,,,,,,0.0,,,,,Atlas
34776,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,UA,2.0,,,,,,0.0,,,,,Atlas
34777,0.04,-0.18,-0.01,0.0,-0.01,RIPE,1.0,1.0,RU,5.0,,,,,,0.0,,,,,Atlas
34778,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,2.0,IE,2.0,,,,,,0.0,,,,,Atlas
34780,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,GR,2.0,,,,,,0.0,,,,,Atlas
397686,-0.13,-0.05,-0.12,0.0,-0.01,ARIN,1.0,4.0,US,2.0,,,,,,0.0,,,,,Atlas
34783,0.05,-0.05,-0.09,0.0,-0.01,RIPE,2.0,4.0,FR,3.0,,,,,,0.0,,,,,Atlas
34784,0.04,-0.05,-0.12,0.0,-0.01,RIPE,1.0,2.0,RU,2.0,,,,,,0.0,,,,,Atlas
34785,0.05,-0.01,-0.03,0.0,-0.01,RIPE,2.0,8.0,AT,4.0,,,,,,0.0,,,,,Atlas
34786,0.04,-0.05,-0.09,0.0,-0.01,RIPE,2.0,7.0,UA,3.0,,,,,,0.0,,,,,Atlas
397687,-0.1,-0.18,-0.12,0.0,-0.01,ARIN,1.0,1.0,CA,2.0,,,,,,0.0,,,,,Atlas
34789,0.04,-0.09,-0.12,0.0,-0.01,RIPE,1.0,2.0,PL,2.0,,,,,,0.0,,,,,Atlas
34792,0.04,-0.09,-0.12,0.0,-0.01,RIPE,1.0,2.0,UA,2.0,,,,,,0.0,,,,,Atlas
34793,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,DE,2.0,,,,,,0.0,,,,,Atlas
34794,0.03,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RO,2.0,,,,,,0.0,,,,,Atlas
34795,0.03,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RO,2.0,,,,,,0.0,,,,,Atlas
397689,-0.13,-0.05,-0.12,0.0,-0.01,ARIN,1.0,4.0,US,2.0,,,,,,0.0,,,,,Atlas
34797,0.0,0.06,0.03,0.0,-0.01,RIPE,16.0,122.0,GE,14.0,,,,,,0.0,,,,,Atlas
34800,0.05,-0.12,0.02,0.23,-0.33,RIPE,1.0,1.0,CH,9.0,Not Disclosed,Not Disclosed,Selective,7.0,0.0,1.0,,,,,Atlas
34802,0.04,-0.05,-0.03,0.0,-0.01,RIPE,1.0,5.0,RU,3.0,,,,,,0.0,,,,,Atlas
34803,0.05,0.04,0.02,0.3,-0.03,RIPE,3.0,25.0,GI,10.0,Europe,Cable/DSL/ISP,Selective,4.0,2.0,1.0,,,,,Atlas
34805,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,PL,2.0,,,,,,0.0,,,,,Atlas
34808,0.03,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,RO,2.0,,,,,,0.0,,,,,Atlas
34809,0.05,-0.05,-0.12,0.0,-0.01,RIPE,1.0,1.0,FR,2.0,,,,,,0.0,,,,,Atlas
34810,0.05,-0.05,-0.12,0.0,-0.01,RIPE,1.0,4.0,GI,2.0,,,,,,0.0,,,,,Atlas
34813,-0.02,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,HK,2.0,,,,,,0.0,,,,,Atlas
34815,0.05,-0.05,-0.12,0.0,-0.01,RIPE,1.0,4.0,IE,2.0,,,,,,0.0,,,,,Atlas
397694,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,1.0,US,2.0,,,,,,0.0,,,,,Atlas
34819,0.05,-0.02,-0.04,0.0,-0.01,RIPE,3.0,6.0,CZ,3.0,,,,,,0.0,,,,,Atlas
34820,0.05,0.05,0.01,-0.09,-0.02,RIPE,10.0,100.0,SK,31.0,Europe,Cable/DSL/ISP,Open,4.0,1.0,1.0,,,,,Atlas
34822,0.05,-0.09,-0.12,0.0,-0.01,RIPE,1.0,2.0,NO,2.0,,,,,,0.0,,,,,Atlas
397695,-0.13,-0.09,-0.12,0.0,-0.01,ARIN,1.0,2.0,US,2.0,,,,,,0.0,,,,,Atlas
34824,0.04,-0.05,-0.04,0.0,-0.01,RIPE,1.0,11.0,RU,7.0,,,,,,0.0,,,,,Atlas
397696,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,2.0,US,2.0,,,,,,0.0,,,,,Atlas
34832,0.04,-0.05,-0.12,0.0,-0.01,RIPE,1.0,7.0,RU,2.0,,,,,,0.0,,,,,Atlas
34837,0.01,0.05,0.01,0.0,-0.01,RIPE,12.0,83.0,IR,12.0,,,,,,0.0,,,,,Atlas
34838,0.04,-0.18,-0.03,0.0,-0.01,RIPE,1.0,2.0,RU,3.0,,,,,,0.0,,,,,Atlas
34842,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,LT,2.0,,,,,,0.0,,,,,Atlas
34843,0.04,-0.09,-0.12,0.0,-0.01,RIPE,1.0,2.0,RU,2.0,,,,,,0.0,,,,,Atlas
34844,0.04,-0.05,0.04,0.0,-0.01,RIPE,2.0,4.0,PL,11.0,,,,,,0.0,,,,,Atlas
34845,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,2.0,PL,2.0,,,,,,0.0,,,,,Atlas
34847,0.03,-0.18,-0.04,0.0,-0.01,RIPE,1.0,2.0,RO,9.0,,,,,,0.0,,,,,Atlas
34848,0.05,-0.01,-0.03,-0.09,0.05,RIPE,1.0,6.0,DK,4.0,Europe,NSP,Open,0.0,4.0,1.0,,,,,Atlas
34849,0.04,-0.09,-0.12,0.0,-0.01,RIPE,1.0,3.0,RU,2.0,,,,,,0.0,,,,,Atlas
